contract,underlying,type,dte,strike,spot,moneyness,ind_bid,ind_ask,ind_mid,ind_width,true_bid,true_ask,true_mid,true_width,ask_err,bid_err,mid_err,width_err,ts
SPY260902C00751000,SPY,call,2,751.0,765.84,0.9806,14.87,14.91,14.89,0.04,14.66,15.18,14.92,0.52,0.27,-0.21,0.03,0.48,2026-08-31T16:49:46.335831+00:00
SPY260902P00751000,SPY,put,2,751.0,765.84,0.9806,0.16,0.17,0.165,0.01,0.14,0.15,0.145,0.01,-0.02,-0.02,-0.02,-0.0,2026-08-31T16:49:54.287398+00:00
SPY260902C00766000,SPY,call,2,766.0,765.84,1.0002,2.46,2.47,2.465,0.01,2.42,2.43,2.425,0.01,-0.04,-0.04,-0.04,0.0,2026-08-31T16:50:02.266959+00:00
SPY260902P00766000,SPY,put,2,766.0,765.84,1.0002,2.48,2.53,2.505,0.05,2.53,2.56,2.545,0.03,0.03,0.05,0.04,-0.02,2026-08-31T16:50:10.150617+00:00
SPY260902C00781000,SPY,call,2,781.0,765.84,1.0198,0.04,0.05,0.045,0.01,0.02,0.03,0.025,0.01,-0.02,-0.02,-0.02,-0.0,2026-08-31T16:50:18.057604+00:00
SPY260902P00781000,SPY,put,2,781.0,765.84,1.0198,13.97,17.24,15.605,3.27,13.95,16.9,15.425,2.95,-0.34,-0.02,-0.18,-0.32,2026-08-31T16:50:25.932417+00:00
SPY260910C00751000,SPY,call,10,751.0,765.84,0.9806,17.18,17.46,17.32,0.28,16.82,17.15,16.985,0.33,-0.31,-0.36,-0.335,0.05,2026-08-31T16:50:33.991924+00:00
SPY260910P00751000,SPY,put,10,751.0,765.84,0.9806,1.42,1.44,1.43,0.02,1.44,1.45,1.445,0.01,0.01,0.02,0.015,-0.01,2026-08-31T16:50:41.857260+00:00
SPY260910C00766000,SPY,call,10,766.0,765.84,1.0002,5.45,5.47,5.46,0.02,5.54,5.58,5.56,0.04,0.11,0.09,0.1,0.02,2026-08-31T16:50:49.980318+00:00
SPY260910P00766000,SPY,put,10,766.0,765.84,1.0002,4.93,5.03,4.98,0.1,4.97,5.0,4.985,0.03,-0.03,0.04,0.005,-0.07,2026-08-31T16:50:58.032201+00:00
SPY260910C00781000,SPY,call,10,781.0,765.84,1.0198,0.52,0.53,0.525,0.01,0.54,0.55,0.545,0.01,0.02,0.02,0.02,0.0,2026-08-31T16:51:06.007053+00:00
SPY260910P00781000,SPY,put,10,781.0,765.84,1.0198,14.32,17.12,15.72,2.8,13.95,17.01,15.48,3.06,-0.11,-0.37,-0.24,0.26,2026-08-31T16:51:13.853602+00:00
SPY261009C00751000,SPY,call,39,751.0,765.84,0.9806,21.56,23.34,22.45,1.78,21.87,23.77,22.82,1.9,0.43,0.31,0.37,0.12,2026-08-31T16:51:21.447093+00:00
SPY261009P00751000,SPY,put,39,751.0,765.84,0.9806,7.38,7.42,7.4,0.04,7.27,7.31,7.29,0.04,-0.11,-0.11,-0.11,0.0,2026-08-31T16:51:29.101169+00:00
SPY261009C00766000,SPY,call,39,766.0,765.84,1.0002,13.38,13.41,13.395,0.03,13.2,13.23,13.215,0.03,-0.18,-0.18,-0.18,0.0,2026-08-31T16:51:36.719896+00:00
SPY261009P00766000,SPY,put,39,766.0,765.84,1.0002,11.79,11.89,11.84,0.1,11.92,11.98,11.95,0.06,0.09,0.13,0.11,-0.04,2026-08-31T16:51:44.358740+00:00
SPY261009C00781000,SPY,call,39,781.0,765.84,1.0198,5.94,5.97,5.955,0.03,5.84,5.9,5.87,0.06,-0.07,-0.1,-0.085,0.03,2026-08-31T16:51:51.937769+00:00
SPY261009P00781000,SPY,put,39,781.0,765.84,1.0198,19.92,20.21,20.065,0.29,19.81,20.04,19.925,0.23,-0.17,-0.11,-0.14,-0.06,2026-08-31T16:51:59.515463+00:00
QQQ260902C00701000,QQQ,call,2,701.0,714.99,0.9804,13.82,14.77,14.295,0.95,14.16,14.69,14.425,0.53,-0.08,0.34,0.13,-0.42,2026-08-31T16:52:07.309726+00:00
QQQ260902P00701000,QQQ,put,2,701.0,714.99,0.9804,0.4,0.41,0.405,0.01,0.39,0.39,0.39,0.0,-0.02,-0.01,-0.015,-0.01,2026-08-31T16:52:15.311754+00:00
QQQ260902C00715000,QQQ,call,2,715.0,714.99,1.0,3.34,3.36,3.35,0.02,3.38,3.4,3.39,0.02,0.04,0.04,0.04,0.0,2026-08-31T16:52:23.379810+00:00
