contract,underlying,dte,dte_label,strike,spot,moneyness,ind_bid,ind_ask,ind_mid,ind_width,true_bid,true_ask,true_width,true_mid,rel_true_width,open_interest,day_volume,day_trades,ask_size,bid_size,iv,delta,cost_usd,probed,predicted_usd,tag,ts
SPY260831C00744000,SPY,0,0DTE,744.0,766.67,0.9704,22.09,22.62,22.355,0.53,,,,,,784,12,6,100,100,,,0.0,False,53.0,afternoon,2026-08-31T18:10:17.724492+00:00
SPY260831C00759000,SPY,0,0DTE,759.0,766.67,0.99,7.37,7.66,7.515,0.29,7.51,7.71,0.2,7.61,0.02661,944,379,104,182,181,,,20.0,True,29.0,afternoon,2026-08-31T18:10:25.523876+00:00
SPY260831C00767000,SPY,0,0DTE,767.0,766.67,1.0004,0.39,0.4,0.395,0.01,0.41,0.41,0.0,0.41,0.0,2291,450646,60414,917,7,,,0.0,True,1.0,afternoon,2026-08-31T18:10:33.434857+00:00
SPY260831C00774000,SPY,0,0DTE,774.0,766.67,1.0096,0.01,0.02,0.015,0.01,0.01,0.02,0.01,0.015,0.66667,5791,11511,1110,3537,1039,,,1.0,True,1.0,afternoon,2026-08-31T18:10:41.259368+00:00
SPY260901C00744000,SPY,1,1-3d,744.0,766.67,0.9704,21.12,24.24,22.68,3.12,,,,,,178,5,5,44,44,0.2491,0.9894,0.0,False,312.0,afternoon,2026-08-31T18:10:48.615837+00:00
SPY260901C00759000,SPY,1,1-3d,759.0,766.67,0.99,6.55,8.06,7.305,1.51,,,,,,393,566,168,47,52,,,0.0,False,151.0,afternoon,2026-08-31T18:10:51.438206+00:00
SPY260901C00767000,SPY,1,1-3d,767.0,766.67,1.0004,1.59,1.6,1.595,0.01,1.57,1.58,0.01,1.575,0.00627,1312,43642,7339,125,141,0.1097,0.4709,1.0,True,1.0,afternoon,2026-08-31T18:10:59.566046+00:00
SPY260901C00774000,SPY,1,1-3d,774.0,766.67,1.0096,0.05,0.06,0.055,0.01,0.07,0.08,0.01,0.075,0.18182,1418,3106,382,671,1501,0.1001,0.0347,1.0,True,1.0,afternoon,2026-08-31T18:11:07.705236+00:00
SPY260908C00744000,SPY,8,7-12d,744.0,766.67,0.9704,21.42,24.83,23.125,3.41,,,,,,2,14,14,3,3,0.0943,0.986,0.0,False,341.0,afternoon,2026-08-31T18:11:15.585018+00:00
SPY260908C00759000,SPY,8,7-12d,759.0,766.67,0.99,10.07,10.25,10.16,0.18,9.89,10.09,0.2,9.99,0.01969,131,483,178,95,75,0.1143,0.737,20.0,True,18.0,afternoon,2026-08-31T18:11:24.091187+00:00
SPY260908C00767000,SPY,8,7-12d,767.0,766.67,1.0004,4.37,4.39,4.38,0.02,4.4,4.43,0.03,4.415,0.00685,64,1052,242,37,152,0.0954,0.5072,3.0,True,2.0,afternoon,2026-08-31T18:11:32.698698+00:00
SPY260908C00774000,SPY,8,7-12d,774.0,766.67,1.0096,1.47,1.49,1.48,0.02,1.46,1.48,0.02,1.47,0.01351,199,440,92,135,157,0.0883,0.2493,2.0,True,2.0,afternoon,2026-08-31T18:11:41.022516+00:00
